SIT_MATRICULA,PAI_FALECIDO,MAE_FALECIDO,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,DT_NASCIMENTO,PROFISSAO,DESC_CIDADE,DESC_ESTADO,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,COD_DISCIPLINA,CARGA_HOR,ANO_INGRESSO
0,0.0,0.0,,E,2014.0,,S,,M,1996-10-27 00:00:00.000,,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,1.0,6.70,,648,54,2016
0,0.0,0.0,0.0,P,2011.0,0.0,,0.0,M,1995-07-02 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,3.0,3.0,3.0,10.00,,648,54,2016
0,0.0,0.0,0.0,P,2011.0,0.0,,0.0,M,1995-07-02 00:00:00.000,,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,1.0,10.00,,648,54,2016
0,0.0,0.0,0.0,P,2014.0,0.0,,0.0,M,1998-04-17 00:00:00.000,,Goiania,Ceará,,,,,,0.00,70.0,648,54,2016
0,0.0,0.0,0.0,,,0.0,S,0.0,F,1998-06-25 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2016
0,0.0,0.0,0.0,E,2014.0,0.0,S,0.0,M,1998-04-15 00:00:00.000,,Trindade,Goiás,Inglês,1.0,2.0,2.0,2.0,0.00,70.0,648,54,2016
0,0.0,0.0,0.0,E,2012.0,10.0,,0.0,M,1994-12-15 00:00:00.000,,Parauapebas,Pará,,,,,,0.00,70.0,648,54,2016
0,0.0,0.0,0.0,,2014.0,10.0,S,0.0,M,1997-02-20 00:00:00.000,,Goiânia,Goiás,Inglês,3.0,2.0,3.0,3.0,1.30,8.0,648,54,2015
0,0.0,0.0,0.0,,,10.0,S,0.0,F,1997-10-24 00:00:00.000,Estudante,Inhumas,Goiás,,,,,,8.00,8.0,648,54,2015
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,1996-08-02 00:00:00.000,,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,1.0,0.00,70.0,648,54,2015
0,0.0,0.0,0.0,E,2014.0,,,,M,1996-10-03 00:00:00.000,,Goiânia,Goiás,,,,,,0.50,10.0,648,54,2015
0,0.0,0.0,0.0,E,2014.0,10.0,S,0.0,M,1997-11-29 00:00:00.000,Estudante,Itapuranga,Goiás,Inglês,2.0,3.0,2.0,2.0,0.00,70.0,648,54,2015
0,0.0,0.0,0.0,P,2011.0,10.0,,0.0,M,1993-11-03 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,6.60,8.0,648,54,2015
0,0.0,0.0,0.0,E,2014.0,10.0,,0.0,M,1997-03-27 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2015
0,0.0,0.0,0.0,E,2014.0,10.0,S,0.0,M,1997-03-20 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,0.70,12.0,648,54,2015
0,0.0,0.0,,O,2010.0,,S,,M,1992-12-25 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,3.0,2.0,2.0,06/10/2016,,648,54,2015
0,0.0,0.0,0.0,,,10.0,S,0.0,M,1994-08-27 00:00:00.000,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,2.0,3.0,0.00,70.0,648,54,2015
0,0.0,0.0,0.0,P,2015.0,10.0,,0.0,M,1997-03-03 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2015
0,0.0,0.0,0.0,,,10.0,S,0.0,M,1994-08-27 00:00:00.000,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,2.0,3.0,0.00,70.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,1997-07-09 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,3.0,2.0,3.0,8.80,4.0,648,54,2015
0,0.0,0.0,,P,2014.0,,S,,M,1997-10-20 00:00:00.000,,Goiânia,Goiás,,,,,,6.60,10.0,648,54,2015
9,0.0,0.0,,E,2013.0,,S,,F,1996-10-06 00:00:00.000,,Aparecida de Goiânia,Goiás,,,,,,0.00,70.0,648,54,2015
0,0.0,0.0,0.0,P,2009.0,10.0,,0.0,F,1992-10-05 00:00:00.000,,Goiânia,Goiás,,,,,,09/10/2016,6.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,1996-03-22 00:00:00.000,,Goiânia,Goiás,,,,,,0.50,70.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,1997-07-10 00:00:00.000,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,1996-03-22 00:00:00.000,,Goiânia,Goiás,,,,,,0.50,0.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,1997-03-18 00:00:00.000,,Goiânia,Goiás,,,,,,7.20,0.0,648,54,2015
0,0.0,0.0,0.0,E,2013.0,10.0,,0.0,M,1997-04-29 00:00:00.000,,Caiapônia,Goiás,,,,,,6.00,0.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,F,1997-04-27 00:00:00.000,,Inhumas,Goiás,,,,,,6.00,0.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,F,1997-01-31 00:00:00.000,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015
10,0.0,0.0,0.0,E,2014.0,10.0,,0.0,M,1997-05-05 00:00:00.000,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,7.30,0.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,1997-04-17 00:00:00.000,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,M,1997-09-02 00:00:00.000,,Goiânia,Goiás,,,,,,6.70,0.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,,0.0,F,1996-12-26 00:00:00.000,,Aparecida de Goiânia,Goiás,,,,,,6.70,0.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,1997-05-24 00:00:00.000,Técnico,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,7.00,0.0,648,54,2015
0,0.0,0.0,0.0,F,2012.0,10.0,,0.0,M,1994-12-26 00:00:00.000,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,F,1996-04-02 00:00:00.000,Estudante,Aparecida de Goiânia,Goiás,Inglês,3.0,3.0,3.0,3.0,7.50,0.0,648,54,2015
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,F,1996-04-02 00:00:00.000,Estudante,Aparecida de Goiânia,Goiás,Alemão,1.0,1.0,1.0,1.0,7.50,0.0,648,54,2015
0,0.0,0.0,0.0,E,,10.0,S,0.0,F,1998-02-13 00:00:00.000,,Aparecida de Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015
10,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,1998-10-19 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,66.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,M,1997-08-06 00:00:00.000,,Anápolis,Goiás,Inglês,3.0,3.0,2.0,3.0,6.70,0.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,0.0,,0.0,M,1997-01-17 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,8.00,0.0,648,54,2015
0,0.0,0.0,0.0,E,2014.0,0.0,,0.0,M,1998-03-11 00:00:00.000,,Goiânia,Goiás,,,,,,6.70,0.0,648,54,2015
9,0.0,0.0,,P,2014.0,,S,,F,1998-04-08 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,66.0,648,54,2015
0,0.0,0.0,0.0,P,2014.0,10.0,S,0.0,F,1997-07-11 00:00:00.000,,Goiânia,Goiás,,,,,,6.70,0.0,648,54,2015
10,0.0,0.0,,E,2009.0,10.0,S,0.0,M,1992-03-28 00:00:00.000,,Goiânia,Goiás,,,,,,7.20,0.0,648,54,2015
0,0.0,0.0,,P,2013.0,,S,,F,1996-02-09 00:00:00.000,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2015
0,0.0,0.0,0.0,E,2006.0,10.0,S,0.0,M,1988-04-15 00:00:00.000,,Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,10.00,0.0,648,54,2015
0,0.0,0.0,0.0,I,2013.0,10.0,S,0.0,M,1995-10-24 00:00:00.000,,Goiânia,Goiás,,,,,,7.60,0.0,648,54,2014
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,F,1996-02-04 00:00:00.000,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2014
0,0.0,0.0,0.0,E,2014.0,10.0,,0.0,M,1997-11-05 00:00:00.000,,Itapuranga,Goiás,,,,,,6.00,0.0,648,54,2014
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,1996-04-15 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,2.0,3.0,2.0,6.00,0.0,648,54,2014
11,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,1996-01-17 00:00:00.000,,Goiânia,Goiás,,,,,,8.50,0.0,648,54,2014
9,0.0,0.0,0.0,E,2007.0,10.0,,0.0,M,1991-03-02 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014
10,0.0,0.0,0.0,P,2013.0,10.0,S,0.0,F,1996-01-08 00:00:00.000,,Goiânia,Goiás,,,,,,7.60,0.0,648,54,2014
0,0.0,0.0,0.0,E,2013.0,10.0,,0.0,M,1995-09-05 00:00:00.000,,Gurupi,Tocantins,,,,,,6.00,0.0,648,54,2014
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,1996-03-20 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,6.00,0.0,648,54,2014
9,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,1992-09-30 00:00:00.000,,Aparecida de Goiânia,Goiás,,,,,,0.00,2.0,648,54,2014
9,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,1992-09-30 00:00:00.000,,Aparecida de Goiânia,Goiás,,,,,,0.00,66.0,648,54,2014
0,0.0,0.0,0.0,E,2012.0,10.0,S,0.0,M,1995-07-05 00:00:00.000,,Goiânia,Goiás,,,,,,7.60,0.0,648,54,2014
0,0.0,0.0,3.0,E,2012.0,0.0,S,0.0,M,1995-02-17 00:00:00.000,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,8.50,0.0,648,54,2014
9,0.0,0.0,0.0,P,2013.0,10.0,S,0.0,M,1996-04-11 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,2.0,648,54,2014
0,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,1992-09-05 00:00:00.000,Técnico em Telecomunicações,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014
0,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,1992-09-05 00:00:00.000,Técnico em Telecomunicações,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014
0,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,1992-09-05 00:00:00.000,Técnico em Telecomunicações,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2014
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,1997-04-18 00:00:00.000,,Senador Canedo,Goiás,,,,,,6.50,0.0,648,54,2014
0,0.0,0.0,0.0,E,2012.0,10.0,S,0.0,M,1995-12-13 00:00:00.000,,Goiânia,Goiás,,,,,,7.60,0.0,648,54,2014
0,0.0,0.0,,E,2013.0,,S,0.0,F,1997-05-17 00:00:00.000,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,3.0,3.0,7.50,0.0,648,54,2014
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,1996-03-22 00:00:00.000,,Aparecida de Goiânia,Goiás,,,,,,7.00,0.0,648,54,2014
9,0.0,0.0,0.0,,,10.0,,0.0,M,1996-06-23 00:00:00.000,,Anápolis,Goiás,,,,,,0.00,68.0,648,54,2014
9,0.0,0.0,0.0,,,10.0,,0.0,M,1996-06-23 00:00:00.000,,Anápolis,Goiás,,,,,,0.00,4.0,648,54,2014
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,1996-10-16 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,0.50,0.0,648,54,2014
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,1996-10-16 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,7.50,0.0,648,54,2014
9,0.0,0.0,0.0,P,2012.0,10.0,S,0.0,M,1995-04-18 00:00:00.000,Estudante,Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,5.70,,648,54,2014
0,0.0,0.0,0.0,,,10.0,,0.0,M,1992-07-24 00:00:00.000,,Palmas,Tocantins,,,,,,6.50,0.0,648,54,2014
0,0.0,0.0,0.0,,,10.0,S,0.0,M,1993-01-14 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,5.20,,648,54,2014
0,0.0,0.0,0.0,,,10.0,S,0.0,M,1993-01-14 00:00:00.000,,Goiânia,Goiás,Espanhol,1.0,2.0,1.0,3.0,5.20,,648,54,2014
2,0.0,0.0,0.0,E,2011.0,10.0,C,0.0,F,1994-03-19 00:00:00.000,Estudante,Goiânia,Goiás,,,,,,7.90,,648,54,2014
0,0.0,0.0,,P,2013.0,,S,,M,1995-12-27 00:00:00.000,,Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,8.50,0.0,648,54,2014
9,0.0,0.0,0.0,P,2006.0,10.0,S,0.0,M,1989-09-28 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014
9,0.0,0.0,0.0,F,2008.0,10.0,,1.0,M,1991-06-07 00:00:00.000,Estudante,Goiânia,Goiás,Inglês,2.0,3.0,2.0,3.0,0.00,0.0,648,54,2014
9,0.0,0.0,0.0,F,2008.0,10.0,,1.0,M,1991-06-07 00:00:00.000,Estudante,Goiânia,Goiás,Inglês,2.0,3.0,2.0,3.0,0.00,2.0,648,54,2014
0,0.0,0.0,0.0,P,2011.0,10.0,,0.0,M,1994-09-27 00:00:00.000,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,7.00,,648,54,2014
2,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,1996-08-05 00:00:00.000,,Barro Alto,Goiás,,,,,,7.00,0.0,648,54,2014
10,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,1997-06-03 00:00:00.000,,Goiânia,Goiás,Inglês,1.0,2.0,1.0,2.0,7.00,0.0,648,54,2015
4,0.0,0.0,0.0,P,2013.0,10.0,S,0.0,M,1996-04-03 00:00:00.000,Estudante,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2014
20,0.0,0.0,,E,2012.0,,,,M,1995-05-04 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,66.0,648,54,2014
0,0.0,0.0,,P,2013.0,,,,M,1996-03-13 00:00:00.000,,Ceres,Goiás,,,,,,10.00,0.0,648,54,2014
20,0.0,0.0,,E,2012.0,,,,M,1995-05-04 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014
2,0.0,0.0,0.0,P,2007.0,10.0,S,0.0,M,1989-11-28 00:00:00.000,,Goiânia,Goiás,Inglês,1.0,2.0,2.0,2.0,6.00,0.0,648,54,2014
9,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,1996-06-13 00:00:00.000,,Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,0.00,70.0,648,54,2014
9,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,1996-06-13 00:00:00.000,,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,2.0,0.00,70.0,648,54,2014
0,0.0,0.0,0.0,O,2013.0,10.0,,0.0,M,1996-07-20 00:00:00.000,,Goiânia,Goiás,,,,,,7.00,0.0,648,54,2014
0,0.0,0.0,0.0,E,2013.0,10.0,,0.0,M,1996-02-08 00:00:00.000,,Goiânia,Goiás,,,,,,10.00,0.0,648,54,2014
9,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,1995-12-03 00:00:00.000,,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2014
0,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,1996-05-03 00:00:00.000,,Goiânia,Goiás,Inglês,3.0,3.0,2.0,3.0,0.00,0.0,648,54,2014
0,0.0,0.0,0.0,P,2012.0,10.0,,0.0,M,1996-05-03 00:00:00.000,,Goiânia,Goiás,Inglês,3.0,3.0,2.0,3.0,6.00,0.0,648,54,2014
9,0.0,0.0,0.0,E,2013.0,10.0,,0.0,M,1992-01-29 00:00:00.000,,Senador Canedo,Goiás,,,,,,0.00,66.0,648,54,2014
